NodeName,FLOPs,WeightMemory[MB],OutMemory[MB],"Edges[NumTensors, MB]..."
/model.23/cv2.0/cv2.0.0/conv/Conv,472678400.0,0,1.6384,"(1, 1.6384)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.0/conv/Conv,8192000.0,0,1.6384,"(1, 1.6384)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.0/conv/Conv_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.0/conv/Conv_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)","(1, 1.6384)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.0/act/Sigmoid,26214400.0,0,1.6384,"(1, 1.6384)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.0/act/Mul,819200.0,0,1.6384,"(1, 1.6384)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.0/act/Mul_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.0/act/Mul_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.1/conv/Conv,66560000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.1/conv/Conv_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.1/conv/Conv_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)","(1, 2.048)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.1/act/Sigmoid,32768000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.1/act/Mul,1024000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.1/act/Mul_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.1/act/Mul_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv,10240000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)","(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/act/Sigmoid,32768000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul,1024000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,82944000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)","(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/act/Sigmoid,32768000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul,1024000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.2/Conv,82944000.0,0,2.048,"(1, 2.048)"
/model.23/cv3.0/cv3.0.2/Conv_output_0_QuantizeLinear,2048000.0,4.9999999999999996e-06,0.512,"(1, 0.512)"
/model.23/cv3.0/cv3.0.2/Conv_output_0_DequantizeLinear,2048000.0,4.9999999999999996e-06,2.048,"(1, 2.048)"
/model.23/Concat_1,0.0,0,3.6864,"(1, 3.6864)"
/model.23/Reshape_3,0.0,2.4e-05,3.6864,"(1, 3.6864)"
/model.23/Concat_4,0.0,0,4.8384,"(1, 4.8384)"
/model.23/Concat_4_output_0_QuantizeLinear,4838400.0,4.9999999999999996e-06,1.2096,"(1, 1.2096)"
/model.23/Concat_4_output_0_DequantizeLinear,4838400.0,4.9999999999999996e-06,4.8384,"(1, 4.8384)"
/model.23/Split,0.0,1.6e-05,4.8384,"(1, 2.1504)","(1, 2.688)"
/model.23/Split_output_0_QuantizeLinear,2150400.0,4.9999999999999996e-06,0.5376,"(1, 0.5376)"
/model.23/Split_output_1_QuantizeLinear,2688000.0,4.9999999999999996e-06,0.672,"(1, 0.672)"
/model.23/Split_output_1_DequantizeLinear,2688000.0,4.9999999999999996e-06,2.688,"(1, 2.688)"
/model.23/Sigmoid,43008000.0,0,2.688,"(1, 2.688)"
/model.23/Sigmoid_output_0_QuantizeLinear,2688000.0,4.9999999999999996e-06,0.672,"(1, 0.672)"
/model.23/Sigmoid_output_0_DequantizeLinear,2688000.0,4.9999999999999996e-06,2.688,"(1, 2.688)"
/model.23/Concat_6,0.0,0,3.8976,"(1, 3.8976)"
/model.23/Split_output_0_DequantizeLinear,2150400.0,4.9999999999999996e-06,2.1504,"(1, 2.1504)"
/model.23/dfl/Reshape,0.0,3.2e-05,2.1504,"(1, 2.1504)"
/model.23/dfl/Reshape_output_0_QuantizeLinear,2150400.0,4.9999999999999996e-06,0.5376,"(1, 0.5376)"
/model.23/dfl/Reshape_output_0_DequantizeLinear,2150400.0,4.9999999999999996e-06,2.1504,"(1, 2.1504)"
/model.23/dfl/Transpose,0.0,0,2.1504,"(1, 2.1504)"
/model.23/dfl/Transpose_output_0_QuantizeLinear,2150400.0,4.9999999999999996e-06,0.5376,"(1, 0.5376)"
/model.23/dfl/Transpose_output_0_DequantizeLinear,2150400.0,4.9999999999999996e-06,2.1504,"(1, 2.1504)"
/model.23/dfl/Softmax,38707200.0,0,2.1504,"(1, 2.1504)"
/model.23/dfl/Softmax_output_0_QuantizeLinear,2150400.0,4.9999999999999996e-06,0.5376,"(1, 0.5376)"
/model.23/dfl/Softmax_output_0_DequantizeLinear,2150400.0,4.9999999999999996e-06,2.1504,"(1, 2.1504)"
/model.23/dfl/conv/Conv,1075200.0,0,0.1344,"(1, 0.1344)"
/model.23/dfl/conv/Conv_output_0_QuantizeLinear,134400.0,4.9999999999999996e-06,0.0336,"(1, 0.0336)"
/model.23/dfl/conv/Conv_output_0_DequantizeLinear,134400.0,4.9999999999999996e-06,0.1344,"(1, 0.1344)"
/model.23/dfl/Reshape_1,0.0,2.4e-05,0.1344,"(1, 0.1344)"
/model.23/dfl/Reshape_1_output_0_QuantizeLinear,134400.0,4.9999999999999996e-06,0.0336,"(1, 0.0336)"
/model.23/dfl/Reshape_1_output_0_DequantizeLinear,134400.0,4.9999999999999996e-06,0.1344,"(1, 0.1344)","(1, 0.1344)"
/model.23/Slice,0.0,2.4e-05,0.0672,"(1, 0.0672)"
/model.23/Slice_1,0.0,2.4e-05,0.0672,"(1, 0.0672)"
/model.23/Slice_1_output_0_QuantizeLinear,67200.0,4.9999999999999996e-06,0.0168,"(1, 0.0168)"
/model.23/Slice_1_output_0_DequantizeLinear,67200.0,4.9999999999999996e-06,0.0672,"(1, 0.0672)"
/model.23/Add_1,33600.0,0,0.0672,"(1, 0.0672)"
/model.23/Add_1_output_0_QuantizeLinear,67200.0,4.9999999999999996e-06,0.0168,"(1, 0.0168)"
/model.23/Add_1_output_0_DequantizeLinear,67200.0,4.9999999999999996e-06,0.0672,"(1, 0.0672)","(1, 0.0672)"
/model.23/Add_2,33600.0,0,0.0672,"(1, 0.0672)"
/model.23/Sub_1,33600.0,0,0.0672,"(1, 0.0672)"
