,/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,Error
179,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.019561291206628084
180,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.05256672017276287
181,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0503988079726696
182,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.07783617824316025
183,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3186322748661041
184,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06119651906192303
185,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0679246336221695
186,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.309736967086792
187,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3057148829102516
188,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.051791962236166
189,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3093723803758621
190,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.06579932011663914
191,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3122486025094986
192,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.06950383633375168
193,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30654989928007126
194,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.042322199791669846
195,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.30969200283288956
196,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.07222766987979412
