,/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,Error
177,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.29230933636426926
178,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15157317966222764
179,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.037405532971024516
180,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.16013990938663483
181,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19972504675388336
182,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.17756056189537048
183,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.29066030830144884
184,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10329984575510025
185,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1693711757659912
186,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.26434773206710815
187,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2853192836046219
188,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.20979079306125642
189,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3115253120660782
190,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1611906498670578
191,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2894132986664772
192,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1759492762386799
193,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.284629288315773
194,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15399363189935683
195,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.30453308671712875
196,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.16710172444581986
197,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3004199504852295
198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.27523215264081957
199,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.22421839237213134
200,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.22985013276338578
201,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.10647899210453034
202,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2941818624734879
203,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16895368695259094
204,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.2775908589363098
205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.21953163892030716
206,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.11295444741845131
207,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3054892987012863
208,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3037598431110382
209,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3095615193247795
210,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.11842475906014442
211,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.15729638710618019
212,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.22189769446849822
213,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3064821571111679
214,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.32143268585205076
215,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.10432846695184708
216,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.28343944400548937
217,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.26805374324321746
218,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.28918313384056094
219,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2808420717716217
220,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.30588766634464265
221,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.05702783316373825
222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19252897053956985
223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021714086458086968
224,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.28807703852653505
225,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.16636240035295485
226,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.31810266375541685
227,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.1033028468489647
228,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.15545713752508164
229,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.30860967338085177
230,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.29261029958724977
231,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.30812416076660154
232,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.2942208662629128
233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.14758027866482734
234,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.28679587692022324
235,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3023690164089203
236,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3005286633968353
237,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.29522164463996886
238,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.16917914971709253
239,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.15619922578334808
240,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21207840144634246
241,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2060586094856262
242,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3054492622613907
243,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.29806325286626817
244,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1597200497984886
245,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.299901419878006
246,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.28824434876441957
247,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.21180659979581834
248,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.16315857246518134
