,/model.1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,Error
162,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0675523797981441
163,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15478509329259396
164,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07778414292261004
165,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.14928057212382556
166,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0746895782649517
167,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.14976876145228743
168,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.15104596121236682
169,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.06615951210260392
170,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.07020111577585339
171,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14848119178786873
172,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01866981773637235
173,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.15472778752446176
174,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.15884651113301515
175,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.07409635661169886
176,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.022370758652687072
177,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.15598570369184017
178,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06617247350513936
179,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.020426394883543253
180,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.03193031121045351
181,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013686177355702966
182,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06880170512013137
183,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.15717946998775006
184,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.025196223333477975
185,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07417977955192327
186,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1489259975962341
187,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.15233915243297816
188,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0691732200793922
189,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.15205485858023166
190,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.027567436406388878
191,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15488315308466555
192,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0714424361474812
193,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1472403084859252
194,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.022321990178897976
195,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1518547276034951
196,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03958006799221039
197,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.15289651919156313
198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1491936336271465
199,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.02238953997148201
200,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.07261355835944414
201,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.03814529627561569
202,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1478320037946105
203,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07727434057742358
204,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.15051337806507945
205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.05701347095891833
206,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.06747719338163734
207,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.15657086968421935
208,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.15051089134067297
209,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.15891725812107324
210,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.07344166785478592
211,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0300260653719306
212,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.032244404964149
213,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.15308777391910552
