,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,Error
58,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.03205130761489272
59,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0656178081408143
60,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.06979774590581656
61,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.025575814535841346
62,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.032037696335464716
63,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06562372203916311
64,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06982429698109627
65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012962581124156713
66,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022197001613676548
67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0588989844545722
68,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06373451557010412
69,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015265716821886599
70,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.023471766151487827
71,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.059696062467992306
72,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06445144303143024
73,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01993810199201107
74,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.02696011634543538
75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06189228035509586
76,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.06640495453029871
77,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.02051651058718562
78,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.02752801775932312
79,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.062375021167099476
80,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0668733362108469
81,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.028836260549724102
82,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03472619969397783
83,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06754486914724112
84,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.07167668361216784
85,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.02877492643892765
86,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03478328511118889
87,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.06763177644461393
88,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.07177938520908356
89,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.031321060843765736
90,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.03713070973753929
91,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.06944961193948984
92,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.07350130658596754
93,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.031198861077427864
94,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.037117098458111286
95,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.06945552583783865
96,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.07352785766124725
97,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.014013758394867182
98,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.023020236752927303
99,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.059507870115339756
100,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06427101138979197
101,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.016316894092597067
102,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.024295001290738583
103,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.06030494812875986
104,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.06498793885111809
105,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.02098927926272154
106,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.027783351484686136
107,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06250116601586342
108,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.06694145034998655
109,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.02156768785789609
110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.028351252898573875
111,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06298390682786703
112,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.06740983203053474
113,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02988743782043457
114,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.03554943483322859
115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06815375480800867
116,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.07221317943185568
117,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.02982610370963812
118,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.035606520250439644
119,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06824066210538149
120,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0723158810287714
121,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.032372238114476204
122,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.03795394487679005
123,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0700584976002574
124,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.07403780240565538
125,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.03225003834813833
126,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.03794033359736204
127,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0700644114986062
